timestamps,open,high,low,close,volume,amount,pred_close,pred_high,pred_low,pred_open
2025-08-18,77.88565,78.412346,77.673325,77.96806,202795.48,15811571.0,77.62626,78.93791,76.6638,77.5271
2025-08-19,78.24095,78.959236,78.15908,78.486565,198488.94,15578715.0,78.14877,79.460144,75.9741,75.79318
2025-08-20,78.48651,79.2943,78.05096,79.14147,196061.17,15516570.0,77.7752,78.12769,74.49855,75.892944
2025-08-21,79.329834,79.41389,78.794945,79.04601,132223.22,10451718.0,76.437874,77.464874,76.33077,77.253365
2025-08-22,79.080345,79.90561,78.85602,79.90288,192490.98,15380584.0,77.04067,77.988396,75.64417,75.903305
2025-08-25,80.233696,81.65224,80.014824,81.342766,279613.53,22744538.0,78.57805,78.808556,77.3343,77.24099
2025-08-26,81.342125,81.555534,80.7794,80.86673,169512.05,13707885.0,77.904274,78.83935,77.455635,78.47377
2025-08-27,80.869804,81.03625,79.02089,79.02089,239744.47,18944822.0,77.93552,78.30065,76.859886,77.42538
2025-08-28,79.01924,79.46291,78.51717,78.91719,168152.92,13270156.0,78.55609,79.195435,77.90504,78.22399
2025-08-29,79.293724,80.90798,79.23915,80.76718,266500.47,21524492.0,78.25603,79.07161,77.87268,78.798134
2025-09-01,80.88735,81.20387,79.98691,80.55446,193158.89,15559810.0,77.7817,79.133644,77.75131,78.55707
2025-09-02,80.694145,82.34987,80.65812,81.383934,242665.0,19749032.0,77.16044,77.94899,76.5848,77.54353
2025-09-03,81.367516,82.04967,80.003204,80.79723,192823.61,15579614.0,77.61158,78.174515,77.238716,77.55626
2025-09-04,80.33069,80.729065,79.70147,80.36671,204388.78,16426053.0,77.79475,78.1961,77.27848,77.545654
2025-09-05,80.27611,81.14763,79.8941,80.93098,160048.28,12952864.0,77.9253,78.68542,76.9933,77.48244
2025-09-08,80.9309,82.21008,80.63075,81.92576,219954.4,18019932.0,78.063225,78.62533,76.59578,77.56242
2025-09-09,82.13151,82.40164,81.499565,82.13151,153003.56,12566413.0,77.86379,78.31695,77.481674,77.84364
2025-09-10,82.22218,83.49317,81.64044,83.05987,212592.92,17657940.0,77.712166,78.120384,77.457375,77.79112
2025-09-11,83.059814,83.278656,82.32255,83.14113,159408.25,13253382.0,79.06527,79.58401,77.72159,77.7682
2025-09-12,83.27763,83.93359,82.433395,82.73191,144353.58,11942647.0,78.92069,78.890945,78.14315,78.76452
2025-09-15,82.72474,82.8126,81.94054,82.682724,110557.38,9141186.0,78.234406,79.4492,77.91786,79.482124
2025-09-16,82.68269,83.00412,81.65181,81.85755,140055.0,11464559.0,78.628876,79.95268,76.49314,78.09696
2025-09-17,81.85819,82.41975,81.31356,81.47673,129835.44,10578567.0,79.57847,81.65506,78.30638,79.282394
2025-09-18,81.42217,81.73869,79.86686,80.110245,212840.9,17050738.0,77.2708,77.69722,77.74126,77.865204
2025-09-19,80.11185,80.52168,79.51264,80.110756,139707.06,11192038.0,79.273575,79.61554,77.319176,77.36224
2025-09-22,79.95352,80.110695,79.13057,79.31284,149597.47,11865001.0,79.069145,79.75476,78.69078,79.30712
2025-09-23,79.15741,79.53941,78.5844,78.98933,165504.05,13073053.0,79.61041,79.67274,79.7672,79.74096
