timestamps,open,high,low,close,volume,amount,$factor
2010-01-04,2.8821456,2.8821456,2.8370702,2.847627,342261.3,974632.5,0.12944752
2010-01-05,2.8652284,2.8737745,2.8318827,2.8392556,243443.38,691197.94,0.12944768
2010-01-06,2.8317373,2.8402832,2.786829,2.7943695,308146.7,861075.7,0.12944819
2010-01-07,2.794367,2.8015726,2.712594,2.7434263,377182.34,1034772.0,0.12944813
2010-01-08,2.7480834,2.7480834,2.6827326,2.7145703,283529.2,769659.94,0.12944731
2010-01-11,2.741361,2.763144,2.6894157,2.7026532,188965.83,510709.1,0.12944683
2010-01-12,2.705377,2.784469,2.6913013,2.7757554,239968.44,666093.7,0.12944786
2010-01-13,2.7478938,2.7673314,2.6977918,2.7051647,292973.2,792540.7,0.12944679
2010-01-14,2.7145972,2.835246,2.7145972,2.8241866,358867.3,1013508.25,0.12944795
2010-01-15,2.8236804,2.9052858,2.8236804,2.8464696,354880.28,1010155.94,0.12944788
2010-01-18,2.848662,2.8865323,2.846986,2.8650837,165792.42,475009.16,0.12944819
2010-01-19,2.8652387,2.8737843,2.8402708,2.8447952,137653.12,391594.94,0.1294479
2010-01-20,2.8471203,2.851142,2.7782507,2.7802613,162019.05,450455.28,0.12944743
2010-01-21,2.7792742,2.8215013,2.7732418,2.7938528,133316.08,372465.5,0.12944786
2010-01-22,2.7916365,2.803198,2.7127132,2.7502477,196473.81,540351.6,0.12944698
2010-01-25,2.7455592,2.8033693,2.7231054,2.782256,179526.28,499488.06,0.12944706
2010-01-26,2.8196437,2.8514814,2.758147,2.793336,254073.3,709712.06,0.12944753
2010-01-27,2.782087,2.8114111,2.7413685,2.7477362,149223.75,410027.5,0.12944703
2010-01-28,2.745714,2.8544633,2.7396817,2.8351936,233822.16,662931.06,0.12944676
2010-01-29,2.8478136,2.8520029,2.8097756,2.8241866,287164.22,811005.3,0.12944795
2010-02-01,2.829879,2.841609,2.7985442,2.830047,229095.66,648351.44,0.12944785
2010-02-02,2.815107,2.8486202,2.7864535,2.7903073,119689.914,333971.62,0.12944725
2010-02-03,2.78515,2.8168204,2.7514687,2.780458,177945.05,494768.72,0.12944812
2010-02-04,2.7799048,2.8360393,2.7670023,2.8251476,173625.81,490518.56,0.12944694
2010-02-05,2.8085954,2.8801465,2.7983737,2.8695898,202663.19,581560.2,0.12944779
2010-02-08,2.8696046,2.9424965,2.857372,2.8692694,243310.61,698123.7,0.12944812
2010-02-09,2.8821151,2.9044013,2.8574831,2.8672018,109320.86,313444.97,0.12944683
2010-02-10,2.882164,2.8920507,2.8603802,2.8793154,49426.36,142314.08,0.12944794
2010-02-11,2.8787916,2.9230292,2.8754404,2.905267,115452.63,335420.72,0.12944746
2010-02-12,2.9151866,2.9190404,2.885527,2.9004407,72201.85,209417.19,0.12944819
2010-02-22,2.8988843,2.9005601,2.8330312,2.8331985,94077.64,266540.62,0.12944712
2010-02-23,2.8360646,2.8570104,2.759822,2.794173,182020.72,508597.38,0.12944752
2010-02-24,2.79431,2.8251421,2.773197,2.813748,76512.27,215286.25,0.12944682
2010-02-25,2.796666,2.8486114,2.796666,2.8192873,118302.89,333529.84,0.12944704
2010-02-26,2.8315094,2.8315094,2.7916288,2.7956505,79867.4,223281.33,0.1294468
2010-03-01,2.7891235,2.80588,2.7814155,2.7856047,167904.55,467715.7,0.129447
2010-03-02,2.7918425,2.7948587,2.7631886,2.774918,132734.73,368328.0,0.12944788
2010-03-03,2.7814088,2.7855978,2.7636468,2.775879,109951.39,305211.75,0.12944683
2010-03-04,2.781933,2.7958412,2.7480848,2.7671874,109457.41,302889.16,0.12944734
2010-03-05,2.7673502,2.772377,2.7527719,2.7549503,75479.016,207940.94,0.12944724
2010-03-08,2.7561252,2.7645037,2.7279742,2.7343416,179682.73,491313.97,0.12944728
2010-03-09,2.7347205,2.743099,2.726342,2.734218,95335.12,260666.98,0.12944831
2010-03-10,2.735858,2.7430632,2.729658,2.742393,91265.28,250285.27,0.12944748
2010-03-11,2.745753,2.7556396,2.7243044,2.73151,104432.62,285258.72,0.12944768
2010-03-12,2.7316482,2.74254,2.7076864,2.713216,94187.36,255550.66,0.12944698
2010-03-15,2.7131078,2.7131078,2.6459124,2.6593182,122122.1,324761.53,0.1294484
2010-03-16,2.6592855,2.6752043,2.6458802,2.6633072,59978.938,159742.33,0.12944761
2010-03-17,2.6639419,2.6907523,2.6626015,2.6895792,144545.39,388766.28,0.12944674
2010-03-18,2.6907806,2.7040186,2.6433594,2.6544187,113765.26,301980.62,0.12944743
2010-03-19,2.6622896,2.6699977,2.6475437,2.6602788,103220.61,274595.6,0.12944731
2010-03-22,2.6683028,2.6743352,2.6421628,2.6475248,177744.45,470582.84,0.12944685
2010-03-23,2.6443655,2.6555924,2.629452,2.6354845,141601.1,373187.47,0.12944745
2010-03-24,2.640544,2.677409,2.6400414,2.6668522,155858.89,415652.62,0.12944824
2010-03-25,2.662607,2.662607,2.6441748,2.6458507,75811.79,200586.67,0.12944688
2010-03-26,2.6503801,2.6957905,2.6488721,2.6753476,158577.39,424249.62,0.12944701
2010-03-29,2.6760194,2.7140567,2.6644576,2.7098677,243152.94,658912.3,0.12944706
2010-03-30,2.7105317,2.713883,2.6726618,2.681208,146871.8,393793.8,0.12944691
2010-03-31,2.6805542,2.7082026,2.6559222,2.6602788,115144.61,306316.75,0.12944731
2010-04-01,2.6605964,2.6894176,2.6602612,2.6820447,185256.14,496865.25,0.12944688
2010-04-02,2.647539,2.647539,2.5402968,2.5575562,1191850.5,3048224.5,0.12944719
2010-04-06,2.5453634,2.5636287,2.5353093,2.5443583,410379.66,1044152.9,0.1294482
2010-04-07,2.5448277,2.5612493,2.5339358,2.5491843,317202.9,808608.7,0.12944736
2010-04-08,2.549724,2.5498915,2.513529,2.5220752,254319.22,641412.2,0.1294483
2010-04-09,2.5136573,2.5235436,2.4764576,2.499079,420388.78,1050584.8,0.12944728
2010-04-12,2.5001094,2.5098283,2.459558,2.468104,297526.8,734327.06,0.12944792
2010-04-13,2.4699554,2.5301127,2.4615772,2.5115125,419513.7,1053613.9,0.12944815
2010-04-14,2.528064,2.528064,2.4843292,2.5221992,358203.6,903460.8,0.12944718
2010-04-15,2.5243745,2.5243745,2.463213,2.4712563,313775.28,775419.1,0.1294471
2010-04-16,2.471082,2.5052652,2.459855,2.4796278,227085.81,563088.3,0.12944692
2010-04-19,2.48017,2.5059752,2.4439752,2.4491699,319295.8,782009.7,0.12944795
2010-04-20,2.4464808,2.4464808,2.3479514,2.4049242,381522.53,917532.75,0.12944774
2010-04-21,2.4046001,2.4835248,2.3746057,2.480341,489508.12,1214147.0,0.12944804
2010-04-22,2.4690778,2.5009153,2.4469593,2.4893534,286325.06,712764.25,0.1294471
2010-04-23,2.48002,2.506831,2.3979113,2.4101436,515162.28,1241615.1,0.12944841
2010-04-26,2.3291566,2.3388753,2.293968,2.2944705,826872.3,1897234.1,0.12944698
2010-04-27,2.2938402,2.2938402,2.2236292,2.2278185,449867.34,1002222.8,0.12944812
2010-04-28,2.2118526,2.2353115,2.1950963,2.214031,203075.27,449614.94,0.12944674
